자치구,Dependency,Dependency_std,n_행정동,Avoidance,n_가구주,n_지역사회,Quadrant,dep_slope_gu,dep_2022,dep_2023,dep_2024,dep_2025,risk_raw,전이위험점수
종로구,8.277187376999873,22.28348737347477,15,44.3,85,63,Q3,8.842500000000001,35.9,43.75,56.875,61.0,0.6494543747539998,100.0
금천구,100.0,14.761451298718711,10,59.6,122,54,Q1,0.5573333333333323,52.68888888888889,63.25,59.370000000000005,55.839999999999996,0.44656265123096406,61.0
강북구,66.65117198561666,9.359802211366302,13,63.8,156,75,Q1,1.21230769230769,46.315384615384616,57.08461538461539,51.36923076923077,52.26153846153846,0.42663502361861727,57.2
영등포구,64.18389633642812,13.458977857449666,18,67.4,225,105,Q1,1.0661764705882348,46.17058823529412,57.1764705882353,50.75,51.86666666666667,0.42487680288912066,56.8
노원구,16.105328961077436,10.99698523280478,19,100.0,141,84,Q4,0.8005263157894739,37.87894736842105,50.02105263157895,41.66842105263158,43.33157894736842,0.4126606930290511,54.5
은평구,59.38737236924361,9.800184947234412,16,67.8,102,50,Q1,0.6574999999999995,45.45625,56.85,50.01875,49.925,0.39516309343299433,51.1
광진구,65.25202009677943,8.479038579821134,15,56.5,118,66,Q1,1.0107142857142855,47.528571428571425,58.57857142857143,51.778571428571425,53.16428571428571,0.39141958686088796,50.4
도봉구,30.27912561148653,8.869347759014172,14,79.5,72,38,Q4,0.8071428571428576,40.878571428571426,51.128571428571426,45.121428571428574,45.57142857142857,0.3798534714550055,48.2
마포구,53.48336458984511,10.26396406527874,16,50.2,71,36,Q2,1.586708333333334,44.04666666666667,53.986666666666665,48.76875,51.075,0.3790318994775562,48.0
강남구,40.47244691128835,17.173545043195052,22,59.2,160,82,Q1,1.3123376623376601,41.945454545454545,53.98571428571429,46.13636363636363,48.93636363636363,0.36569613946660534,45.5
구로구,77.62496816466395,15.185136843386726,15,33.8,76,42,Q2,0.9593333333333327,47.973333333333336,60.34,52.513333333333335,53.78,0.34538493744725696,41.6
강서구,55.82413002708897,9.918027180739864,20,52.3,178,124,Q1,0.6914999999999984,44.515,57.075,48.675,49.62,0.343310389584896,41.2
중랑구,69.66729179690212,11.517709190633358,16,42.3,144,86,Q2,0.6592499999999994,47.74666666666667,59.38,51.58125,52.54375,0.3393142298313517,40.4
중구,49.48947697436972,11.458343526166262,12,18.5,88,37,Q2,2.652666666666667,36.65,48.73333333333333,46.459999999999994,46.25,0.33155519671325384,38.9
강동구,24.885585731595363,16.428008921478675,18,53.6,116,57,Q4,1.283749999999997,40.2,51.8125,44.699999999999996,46.849999999999994,0.3162309980599659,36.0
동대문구,79.97201797993631,14.551690736704908,14,31.5,123,88,Q2,0.2892307692307696,51.03846153846154,59.15384615384615,53.04615384615385,54.03846153846154,0.30821976982777355,34.4
송파구,15.480334123106898,13.933904826131966,27,60.6,202,83,Q4,0.9930769230769207,39.18076923076923,50.869230769230775,42.86923076923077,45.1576923076923,0.3032560732709705,33.5
동작구,32.57854645643769,8.582329576075542,15,41.0,118,72,Q3,0.6243406593406611,42.52307692307692,54.823076923076925,46.84285714285714,47.26428571428572,0.25941551798964946,25.0
성북구,23.956379801347527,9.556231089272533,20,44.6,103,42,Q3,0.7182972136222915,39.10588235294117,51.294117647058826,43.147368421052626,44.21578947368421,0.2578729004271506,24.7
관악구,59.71647532389355,11.255305627209983,21,15.9,244,122,Q2,0.7361111111111114,45.599999999999994,55.894444444444446,49.98888888888889,50.02222222222222,0.24422244294235723,22.1
성동구,22.89896996514802,10.857309817380555,17,58.2,82,31,Q4,-0.5631057692307693,43.025,53.69230769230769,44.45625,44.22666666666667,0.22970725562391847,19.3
용산구,0.0,13.799273833551288,16,50.7,108,57,Q4,-0.7415476190476185,41.357142857142854,53.08571428571429,40.875,42.955555555555556,0.15209999999999999,4.4
서대문구,29.40592782226461,11.055288128510972,14,9.0,57,24,Q3,0.455984848484848,40.85454545454545,52.81818181818182,43.59166666666667,45.449999999999996,0.1482871539283386,3.7
양천구,15.284820139998343,9.345113364258872,18,14.1,44,26,Q3,0.7002287581699356,38.35294117647059,49.67777777777778,41.955555555555556,43.26111111111111,0.14808714933911932,3.6
서초구,8.49328177938311,14.82064559820902,18,0.0,132,56,Q3,1.4082352941176481,38.87647058823529,49.99411764705882,42.688235294117646,46.00588235294118,0.12914079101130538,0.0
