자치구,행정동,전이확률,1위원인,1위SHAP,2위원인,2위SHAP,3위원인,3위SHAP
중랑구,면목본동,0.1428,최근인프라,1.4018,인프라밀도,0.7098,이동수준,-0.2759
중랑구,면목3·8동,0.1409,최근인프라,0.9743,인프라밀도,0.7219,고립변화(22→23),-0.4525
중랑구,망우본동,0.1371,최근인프라,1.4087,인프라밀도,0.9561,고립변화(22→23),-0.3977
성북구,돈암1동,0.1367,최근인프라,1.2719,인프라밀도,0.6458,이동수준,-0.3964
성북구,돈암2동,0.1271,최근인프라,1.3022,인프라밀도,0.6629,이동변화(22→23),-0.3811
성북구,정릉1동,0.126,최근인프라,0.8453,인프라밀도,0.5965,이동수준,0.2505
성북구,정릉2동,0.1257,고립변화(22→23),0.9888,최근인프라,-0.5883,고립수준(외출↓),0.5876
성북구,정릉3동,0.1241,이동수준,0.731,배달의존수준,0.4072,고립변화(22→23),-0.3853
성북구,정릉4동,0.1238,고립수준(외출↓),0.8322,고립변화(22→23),0.6902,최근인프라,0.4927
성북구,길음1동,0.1163,최근인프라,1.0049,고립수준(외출↓),0.8032,인프라밀도,0.4667
성북구,길음2동,0.115,최근인프라,1.2477,인프라밀도,0.9563,인구규모,-0.7898
성북구,월곡1동,0.1126,최근인프라,1.1217,인프라밀도,0.8369,고립수준(외출↓),0.5089
성북구,월곡2동,0.1111,최근인프라,0.9895,고립변화(22→23),0.6805,인프라밀도,0.5841
성북구,장위1동,0.1078,최근인프라,0.913,이동수준,0.6255,인프라밀도,0.53
성북구,장위2동,0.1016,최근인프라,1.2691,고립수준(외출↓),-1.0655,인프라밀도,0.8296
성북구,장위3동,0.0986,최근인프라,0.9605,인프라밀도,0.5947,고립수준(외출↓),-0.319
성북구,성북동,0.0976,최근인프라,1.0694,인프라밀도,0.6219,이동변화(22→23),-0.413
성북구,삼선동,0.0968,이동수준,0.5773,최근인프라,0.44,이동변화(22→23),-0.3808
성북구,종암동,0.0954,최근인프라,0.6895,이동변화(22→23),-0.4233,배달변화(22→23),0.3101
성북구,석관동,0.0938,고립수준(외출↓),1.1174,이동수준,0.8044,최근인프라,-0.6039
강북구,번1동,0.0925,최근인프라,0.7643,인프라밀도,0.4583,독거비율,0.2633
강북구,번2동,0.0912,고립수준(외출↓),0.8511,최근인프라,-0.6654,배달의존수준,0.3686
강북구,번3동,0.0882,최근인프라,1.384,인프라밀도,0.7521,고립수준(외출↓),-0.545
강북구,수유1동,0.087,최근인프라,1.5152,인프라밀도,0.7915,고립수준(외출↓),-0.5131
강북구,수유2동,0.0866,이동수준,0.6468,고립수준(외출↓),0.5535,최근인프라,0.5066
강북구,수유3동,0.0846,고립수준(외출↓),0.6827,최근인프라,0.4127,고립변화(22→23),-0.2783
강북구,삼양동,0.0782,이동수준,0.6605,최근인프라,0.4512,이동변화(22→23),-0.3031
강북구,미아동,0.0769,고립변화(22→23),1.0566,최근인프라,-0.6303,고립수준(외출↓),0.4832
강북구,송중동,0.076,최근인프라,1.0643,인프라밀도,0.8637,고립수준(외출↓),0.4278
강북구,송천동,0.0758,이동수준,0.6811,고립변화(22→23),-0.4549,최근인프라,0.312
강북구,삼각산동,0.0737,고립변화(22→23),0.6843,이동변화(22→23),-0.5001,최근인프라,0.4932
강북구,우이동,0.0732,고립변화(22→23),0.8935,이동수준,0.5681,최근인프라,-0.5461
강북구,인수동,0.0728,최근인프라,1.1826,고립수준(외출↓),-0.9747,인프라밀도,0.8477
도봉구,쌍문1동,0.0719,이동수준,0.9643,최근인프라,0.3522,독거비율,0.2213
도봉구,쌍문2동,0.0707,최근인프라,0.7486,고립변화(22→23),0.5206,이동변화(22→23),-0.4859
도봉구,쌍문3동,0.0685,고립변화(22→23),0.7609,고립수준(외출↓),0.7345,최근인프라,-0.7194
도봉구,쌍문4동,0.0674,이동수준,0.6716,최근인프라,0.3935,고립변화(22→23),-0.2821
도봉구,방학1동,0.0643,최근인프라,0.6995,인프라밀도,0.4952,고립변화(22→23),-0.3991
도봉구,방학2동,0.0613,최근인프라,0.7224,인프라밀도,0.5629,고립수준(외출↓),0.448
도봉구,방학3동,0.0608,고립수준(외출↓),0.78,이동수준,-0.2953,최근인프라,0.2635
도봉구,창1동,0.0604,최근인프라,0.4425,고립수준(외출↓),0.4057,인구규모,0.2494
도봉구,창2동,0.0595,최근인프라,1.1407,고립수준(외출↓),-0.9146,인프라밀도,0.7055
도봉구,창3동,0.0592,인프라밀도,0.6122,최근인프라,0.5948,이동변화(22→23),-0.3192
도봉구,창4동,0.0584,고립수준(외출↓),0.9335,최근인프라,-0.6634,이동수준,0.5052
도봉구,창5동,0.0572,이동수준,0.7823,고립수준(외출↓),0.7102,최근인프라,-0.5812
도봉구,도봉1동,0.0567,이동수준,0.5936,고립변화(22→23),-0.4246,이동변화(22→23),-0.3886
도봉구,도봉2동,0.0549,이동수준,0.7758,최근인프라,0.3337,고립수준(외출↓),-0.2477
노원구,월계1동,0.054,고립수준(외출↓),0.6206,이동수준,0.5577,이동변화(22→23),-0.4852
노원구,월계2동,0.0537,이동수준,0.4742,고립변화(22→23),-0.3947,최근인프라,0.3448
노원구,월계3동,0.0533,최근인프라,-0.8945,고립수준(외출↓),0.6514,고립변화(22→23),0.4425
노원구,공릉2동,0.0524,고립수준(외출↓),-1.3441,고립변화(22→23),0.7261,최근인프라,0.5372
노원구,하계1동,0.0515,이동수준,0.9326,인구규모,-0.3762,최근인프라,0.3616
노원구,하계2동,0.0511,고립변화(22→23),0.8314,최근인프라,-0.6268,이동수준,0.6085
노원구,중계본동,0.0508,최근인프라,-0.675,고립변화(22→23),0.607,고립수준(외출↓),0.5766
노원구,중계1동,0.0501,최근인프라,-0.6986,고립수준(외출↓),0.5097,인프라밀도,-0.4131
노원구,중계4동,0.0497,고립수준(외출↓),0.9887,최근인프라,-0.7109,인프라밀도,-0.3884
노원구,상계1동,0.0495,이동수준,0.8058,최근인프라,0.3733,고립변화(22→23),-0.3287
노원구,상계2동,0.0469,고립수준(외출↓),0.6333,독거비율,-0.4376,최근인프라,0.414
노원구,상계5동,0.0442,최근인프라,0.9356,이동변화(22→23),-0.4877,고립수준(외출↓),-0.4624
노원구,상계8동,0.0431,고립수준(외출↓),-0.9426,최근인프라,0.8916,인프라밀도,0.5749
노원구,상계9동,0.0399,고립수준(외출↓),-1.3211,최근인프라,0.7235,인프라밀도,0.551
노원구,상계10동,0.0398,고립수준(외출↓),0.7333,최근인프라,-0.7155,고립변화(22→23),0.6035
노원구,상계3·4동,0.0396,고립수준(외출↓),0.5146,최근인프라,0.326,이동수준,-0.2731
노원구,상계6·7동,0.0385,이동수준,0.7573,최근인프라,-0.4493,독거변화(22→23),0.3038
노원구,중계2·3동,0.0384,최근인프라,1.0368,고립수준(외출↓),-0.7414,이동변화(22→23),-0.4584
노원구,공릉1동,0.0382,고립수준(외출↓),-0.5017,이동수준,0.4352,이동변화(22→23),-0.4219
은평구,녹번동,0.0373,인프라밀도,0.4469,고립수준(외출↓),0.4292,독거비율,-0.3706
은평구,불광1동,0.0372,이동수준,0.6667,고립변화(22→23),-0.4522,최근인프라,0.4358
은평구,갈현1동,0.0364,고립수준(외출↓),-0.7775,이동수준,0.508,최근인프라,0.4544
은평구,갈현2동,0.0344,이동수준,0.7132,최근인프라,-0.5736,고립수준(외출↓),0.3891
은평구,구산동,0.034,고립수준(외출↓),0.6883,독거비율,-0.5939,최근인프라,0.4657
은평구,대조동,0.0328,최근인프라,0.3194,이동수준,-0.2497,인구규모,0.2354
은평구,응암1동,0.0328,최근인프라,0.5119,독거비율,-0.479,인프라밀도,0.3559
은평구,응암2동,0.0322,고립수준(외출↓),0.5299,독거비율,-0.4385,최근인프라,0.3543
은평구,신사1동,0.0321,고립수준(외출↓),0.3159,고립변화(22→23),-0.3,최근인프라,0.2498
은평구,신사2동,0.0287,고립수준(외출↓),0.8061,최근인프라,-0.7207,이동수준,0.3976
은평구,증산동,0.0285,고립수준(외출↓),0.8021,최근인프라,-0.7878,인프라밀도,-0.3981
은평구,수색동,0.0282,이동변화(22→23),-0.5124,최근인프라,0.5025,고립수준(외출↓),-0.4768
은평구,진관동,0.0276,최근인프라,-0.622,인프라밀도,-0.425,고립수준(외출↓),0.3975
은평구,불광2동,0.0269,이동수준,1.1376,인구규모,-0.5142,최근인프라,-0.5013
은평구,응암3동,0.0266,이동수준,0.9267,최근인프라,-0.6409,인프라밀도,-0.2912
은평구,역촌동,0.0258,이동수준,0.46,이동변화(22→23),-0.4297,최근인프라,0.2855
서대문구,천연동,0.0258,이동수준,0.6029,이동변화(22→23),-0.3771,독거비율,0.1891
서대문구,홍제1동,0.0256,독거비율,-0.5481,최근인프라,0.4892,인프라밀도,0.3649
서대문구,홍제3동,0.0256,최근인프라,-0.7376,고립수준(외출↓),0.4953,인프라밀도,-0.3411
