자치구,행정동,전이확률,1위원인,1위SHAP,2위원인,2위SHAP,3위원인,3위SHAP
관악구,서원동,0.0049,최근인프라,-0.7243,인프라밀도,-0.3399,인구규모,-0.3237
관악구,신원동,0.0049,최근인프라,-0.7306,고립수준(외출↓),-0.4089,인프라밀도,-0.3717
관악구,서림동,0.0049,최근인프라,-0.6361,인프라밀도,-0.3324,이동수준,-0.2831
관악구,신사동,0.0049,최근인프라,-0.7354,인프라밀도,-0.4208,고립수준(외출↓),-0.3678
관악구,난향동,0.0048,최근인프라,-0.7661,인프라밀도,-0.4263,이동수준,-0.2796
관악구,조원동,0.0047,최근인프라,-0.7565,인프라밀도,-0.3903,고립수준(외출↓),-0.3683
관악구,대학동,0.0047,최근인프라,-0.7109,인프라밀도,-0.3841,이동수준,-0.2908
관악구,은천동,0.0047,최근인프라,-0.8315,인프라밀도,-0.4051,고립수준(외출↓),-0.2983
관악구,성현동,0.0047,최근인프라,-0.6512,인프라밀도,-0.4109,이동수준,-0.2914
관악구,청룡동,0.0047,최근인프라,-0.7406,고립수준(외출↓),-0.3779,인프라밀도,-0.3548
관악구,난곡동,0.0047,최근인프라,-0.8235,인프라밀도,-0.4504,고립수준(외출↓),-0.2848
관악구,삼성동,0.0047,최근인프라,-0.6582,인프라밀도,-0.3988,이동수준,-0.2906
관악구,미성동,0.0046,최근인프라,-0.7655,인프라밀도,-0.4437,고립수준(외출↓),-0.2641
서초구,서초1동,0.0046,최근인프라,-0.6932,인프라밀도,-0.3621,이동수준,-0.2963
서초구,서초2동,0.0045,최근인프라,-0.6729,인프라밀도,-0.4205,고립수준(외출↓),-0.3797
서초구,서초3동,0.0045,최근인프라,-0.8284,인프라밀도,-0.4214,고립수준(외출↓),-0.3185
서초구,서초4동,0.0044,최근인프라,-0.8548,인프라밀도,-0.415,고립수준(외출↓),-0.3191
서초구,잠원동,0.0044,최근인프라,-0.7869,인프라밀도,-0.4133,고립수준(외출↓),-0.2909
서초구,반포1동,0.0044,최근인프라,-0.7625,인프라밀도,-0.4114,고립수준(외출↓),-0.3079
서초구,반포2동,0.0044,최근인프라,-0.6932,인프라밀도,-0.3908,고립수준(외출↓),-0.2714
서초구,반포3동,0.0043,최근인프라,-0.7291,인프라밀도,-0.4037,고립수준(외출↓),-0.3047
서초구,반포4동,0.0043,최근인프라,-0.8068,인프라밀도,-0.4245,고립수준(외출↓),-0.2907
서초구,방배본동,0.0043,최근인프라,-0.7222,인프라밀도,-0.4086,이동수준,-0.2759
서초구,방배1동,0.0043,최근인프라,-0.6921,인프라밀도,-0.3844,고립수준(외출↓),-0.2809
서초구,방배2동,0.0042,최근인프라,-0.7352,인프라밀도,-0.3831,고립수준(외출↓),-0.2831
서초구,방배3동,0.0042,최근인프라,-0.6472,인프라밀도,-0.3643,고립수준(외출↓),-0.2958
서초구,방배4동,0.0041,최근인프라,-0.7958,인구규모,-0.3552,인프라밀도,-0.3464
서초구,양재1동,0.0041,최근인프라,-0.6958,인프라밀도,-0.3966,이동수준,-0.2768
서초구,양재2동,0.0041,최근인프라,-0.625,고립수준(외출↓),-0.3813,인프라밀도,-0.3259
서초구,내곡동,0.0041,최근인프라,-0.643,인프라밀도,-0.3433,이동수준,-0.2768
강남구,신사동,0.0041,최근인프라,-0.782,인프라밀도,-0.435,고립수준(외출↓),-0.3623
강남구,논현1동,0.004,최근인프라,-0.6927,인프라밀도,-0.3878,고립수준(외출↓),-0.313
강남구,논현2동,0.004,최근인프라,-0.7847,인프라밀도,-0.4005,고립수준(외출↓),-0.2842
강남구,삼성1동,0.004,최근인프라,-0.582,인프라밀도,-0.3337,이동수준,-0.3044
강남구,삼성2동,0.004,최근인프라,-0.8484,인프라밀도,-0.4361,고립수준(외출↓),-0.2889
강남구,대치1동,0.004,최근인프라,-0.6452,인프라밀도,-0.3614,고립수준(외출↓),-0.345
강남구,대치4동,0.004,최근인프라,-0.6921,인프라밀도,-0.3609,고립수준(외출↓),-0.3506
강남구,역삼1동,0.004,최근인프라,-0.7627,인프라밀도,-0.4262,고립수준(외출↓),-0.2649
강남구,역삼2동,0.004,최근인프라,-0.7443,인프라밀도,-0.4413,고립수준(외출↓),-0.3082
강남구,도곡1동,0.004,최근인프라,-0.829,인프라밀도,-0.4308,고립수준(외출↓),-0.2895
강남구,도곡2동,0.004,최근인프라,-0.6636,인프라밀도,-0.3513,이동수준,-0.2859
강남구,개포1동,0.0039,최근인프라,-0.6508,인프라밀도,-0.3768,고립수준(외출↓),-0.3051
강남구,개포4동,0.0039,최근인프라,-0.8098,인구규모,-0.4113,인프라밀도,-0.4047
강남구,일원본동,0.0039,최근인프라,-0.8017,인구규모,-0.3743,인프라밀도,-0.3341
강남구,일원1동,0.0039,최근인프라,-0.6416,인프라밀도,-0.3217,고립수준(외출↓),-0.306
강남구,일원2동,0.0039,최근인프라,-0.7932,인프라밀도,-0.4045,고립수준(외출↓),-0.279
강남구,수서동,0.0039,최근인프라,-0.8546,인프라밀도,-0.4149,고립수준(외출↓),-0.2966
강남구,세곡동,0.0038,최근인프라,-0.6499,인프라밀도,-0.3498,고립수준(외출↓),-0.3148
강남구,압구정동,0.0038,최근인프라,-0.6034,인프라밀도,-0.3659,이동수준,-0.28
강남구,청담동,0.0038,최근인프라,-0.8413,인프라밀도,-0.4264,고립수준(외출↓),-0.3384
강남구,대치2동,0.0038,최근인프라,-0.6415,인프라밀도,-0.4084,고립수준(외출↓),-0.3037
강남구,개포2동,0.0038,최근인프라,-0.6176,고립수준(외출↓),-0.3793,인프라밀도,-0.3446
송파구,풍납1동,0.0038,최근인프라,-0.6738,인프라밀도,-0.3991,고립수준(외출↓),-0.284
송파구,풍납2동,0.0038,최근인프라,-0.6565,인프라밀도,-0.3624,고립수준(외출↓),-0.3248
송파구,거여1동,0.0037,최근인프라,-0.6909,인프라밀도,-0.336,고립수준(외출↓),-0.3199
송파구,마천1동,0.0037,최근인프라,-0.8444,인프라밀도,-0.41,고립수준(외출↓),-0.2948
송파구,마천2동,0.0037,최근인프라,-0.7587,인프라밀도,-0.3793,이동수준,-0.2859
송파구,방이1동,0.0037,최근인프라,-0.6494,고립수준(외출↓),-0.3922,인프라밀도,-0.3496
송파구,거여2동,0.0037,최근인프라,-0.8591,인프라밀도,-0.4141,이동수준,-0.3164
송파구,오륜동,0.0036,최근인프라,-0.7854,인프라밀도,-0.3634,인구규모,-0.3471
송파구,오금동,0.0036,최근인프라,-0.6984,인프라밀도,-0.3817,고립수준(외출↓),-0.3139
송파구,송파1동,0.0036,최근인프라,-0.6551,인프라밀도,-0.3829,고립수준(외출↓),-0.2939
송파구,방이2동,0.0036,최근인프라,-0.6662,인프라밀도,-0.3857,고립수준(외출↓),-0.3078
송파구,석촌동,0.0036,최근인프라,-0.5962,인프라밀도,-0.3581,고립수준(외출↓),-0.2839
송파구,삼전동,0.0036,최근인프라,-0.6841,인프라밀도,-0.352,고립수준(외출↓),-0.3004
송파구,가락본동,0.0036,최근인프라,-0.7595,인프라밀도,-0.4281,고립수준(외출↓),-0.2979
송파구,송파2동,0.0036,최근인프라,-0.6953,인프라밀도,-0.4023,고립수준(외출↓),-0.3285
송파구,가락2동,0.0035,최근인프라,-0.6605,인프라밀도,-0.3856,고립수준(외출↓),-0.3301
송파구,문정1동,0.0035,최근인프라,-0.6808,인프라밀도,-0.3768,고립수준(외출↓),-0.3226
송파구,문정2동,0.0035,최근인프라,-0.655,인프라밀도,-0.3623,고립수준(외출↓),-0.286
송파구,가락1동,0.0035,최근인프라,-0.6672,고립수준(외출↓),-0.3921,인프라밀도,-0.3883
송파구,잠실본동,0.0035,최근인프라,-0.6149,인프라밀도,-0.319,고립수준(외출↓),-0.2837
송파구,잠실6동,0.0035,최근인프라,-0.7542,인프라밀도,-0.3908,고립수준(외출↓),-0.3125
송파구,잠실4동,0.0035,최근인프라,-0.6577,인프라밀도,-0.4005,이동수준,-0.3116
송파구,잠실2동,0.0034,최근인프라,-0.6436,고립수준(외출↓),-0.382,인프라밀도,-0.3521
송파구,장지동,0.0034,최근인프라,-0.7039,인구규모,-0.4166,인프라밀도,-0.379
송파구,잠실3동,0.0034,최근인프라,-0.7095,고립수준(외출↓),-0.3862,인프라밀도,-0.354
강동구,강일동,0.0033,최근인프라,-0.6177,인프라밀도,-0.3554,고립수준(외출↓),-0.3116
송파구,위례동,0.0033,최근인프라,-0.6791,인프라밀도,-0.3339,고립수준(외출↓),-0.304
강동구,암사3동,0.0033,최근인프라,-0.6605,인프라밀도,-0.3384,고립수준(외출↓),-0.3172
강동구,천호3동,0.0033,최근인프라,-0.8024,인프라밀도,-0.3753,고립수준(외출↓),-0.3172
강동구,천호1동,0.0033,최근인프라,-0.6602,고립수준(외출↓),-0.3683,인구규모,-0.3569
강동구,상일동,0.0033,최근인프라,-0.6623,인프라밀도,-0.339,이동수준,-0.3007
강동구,명일1동,0.0033,최근인프라,-0.6635,인프라밀도,-0.3702,고립수준(외출↓),-0.317
강동구,명일2동,0.0033,최근인프라,-0.6624,고립수준(외출↓),-0.3325,인프라밀도,-0.3054
강동구,고덕1동,0.0033,최근인프라,-0.7241,고립수준(외출↓),-0.402,인프라밀도,-0.3667
강동구,성내1동,0.0032,최근인프라,-0.6114,인구규모,-0.3822,인프라밀도,-0.333
강동구,성내2동,0.0032,최근인프라,-0.6528,인프라밀도,-0.339,고립수준(외출↓),-0.2792
강동구,성내3동,0.0031,최근인프라,-0.7342,인구규모,-0.3915,인프라밀도,-0.3642
강동구,둔촌1동,0.0031,최근인프라,-0.5909,인프라밀도,-0.326,고립수준(외출↓),-0.3018
강동구,둔촌2동,0.0031,최근인프라,-0.691,인프라밀도,-0.3728,고립수준(외출↓),-0.3109
강동구,암사1동,0.0028,최근인프라,-0.8295,인구규모,-0.4082,인프라밀도,-0.3394
강동구,천호2동,0.0027,최근인프라,-0.6555,인구규모,-0.3986,인프라밀도,-0.3463
강동구,길동,0.0027,최근인프라,-0.6303,인구규모,-0.3998,인프라밀도,-0.327
