행정동,자치구,행정동코드,level_외출커뮤적은,level_이동횟수,level_배달식재료,level_독거비율,level_인프라,level_인구,delta_외출커뮤적은,delta_이동횟수,delta_배달식재료,delta_독거비율,infra_slope,infra_delta,infra_recent,전이확률
역삼2동,강남구,1123065,0.6374317907989984,-0.22880256846518493,-0.052658010191058306,0.6742512611610866,1.659405163813012,0.2920835614528915,-0.06431287557627108,0.20876804724718556,0.007852068467779482,-0.09663517512297581,0.24274134193370384,0.007073277855431112,2.3951938905211203,0.8865
문정2동,송파구,1124069,0.3608936672602573,-0.21857366352414273,-0.004288879868238537,0.62551576130209,1.8258644438606488,0.13127935818403427,-0.03354418678790645,0.1796513053716997,0.2907070880982324,-0.09308851316624119,0.048761083807067354,0.005137084978948528,2.5310540362062803,0.8831
공덕동,마포구,1114077,0.5875307467714017,0.5604554588727506,-0.11112660967952412,0.6042771899590957,0.7384819484682352,0.34616618030339075,1.3398958115172273,0.3196846931642183,-0.019322390744553684,-0.07607573952873387,0.018718191434259002,0.025065827571917717,1.2644834931031004,0.8777
발산1동,강서구,1116067,0.6253326093504592,-0.21995935409022524,-0.10043215338076512,0.6473235913285581,1.7424286590330056,0.3386727200125868,-0.03798244001695778,0.18676774519428194,-0.02635056009257382,-0.017228287757520194,0.016685903693322138,-0.002624022148041836,2.2924334456484043,0.8603
암사1동,강동구,1125072,1.0967207965910684,0.15344307163169627,-0.06326253257931022,0.2876393004789173,0.6490110922309393,0.32766201675250983,1.3405874042526227,0.1589994309533644,0.30351992549135226,-0.045535454540936854,-0.011539024433683234,0.03346022207735171,1.0655636988175867,0.8414
가양1동,강서구,1116064,0.4449312493145203,-0.17463529476709927,-0.0974249666076945,0.5165726598072536,1.7807574520012786,0.12987947325676133,0.14613794027477564,0.18676774519428194,-0.00783226925195165,0.11730046323284009,0.053964059444091966,-0.08877236873919975,2.283754991943866,0.8408
독산1동,금천구,1118052,0.7106305202873368,0.12311683595299394,-0.05999028803685975,0.3124396032462015,1.3227447713646152,0.3357677084561845,0.00015222238724829835,0.10083985317752467,0.01090666021773081,0.05763841894093306,0.2573594270950106,0.05043840674379074,2.0280873707517446,0.8352
역촌동,은평구,1112074,0.03984150768073219,0.22844219115627198,-0.07905524430258835,0.8060634498473571,0.7203676353767677,0.32513089056097366,1.1716023580421544,0.18751499617426715,0.029917076227921863,0.07242184569011094,0.2450876692655154,0.13081810237987285,1.3678664801081954,0.8346
서초2동,서초구,1122052,0.3997144676735764,-0.20452358334453977,-0.044039919510681,0.6137665114620388,1.7201610406022145,-0.0011020595858006813,0.06560393478076873,0.2067613184290439,-0.13722598508371292,-0.07801464575410397,0.08281460849813063,-0.04715591186997042,2.51553576239968,0.8123
화양동,광진구,1105053,0.5442691141512854,0.4181008398705119,0.06662617768330105,0.15458517251622475,1.5299033936437716,-0.33696349306397494,-0.004499741977261749,0.22681280361744302,0.2655241348464209,0.07479497373296097,0.0808132464503481,0.07530307087826872,1.9813040863435953,0.8099
