행정동코드,자치구,행정동,전이확률_GB,전이확률_정규화,Avoidance,Shadow_Score,위험등급,dep_2025,dep_slope_annual
1118061,금천구,시흥5동,0.0572,6.166553518895678,59.6,19.52,저위험,51.3,-0.6900000000000013
1109065,강북구,수유3동,0.0442,4.695632496039829,63.8,19.47,저위험,60.4,-1.810000000000001
1119056,영등포구,당산2동,0.0328,3.405747906766237,67.4,19.4,저위험,52.4,1.06
1104071,성동구,왕십리도선동,0.0592,6.392849060873501,58.2,19.34,저위험,54.7,1.0
1103065,용산구,이태원1동,0.0798,8.723693143245079,50.7,19.22,저위험,,
1123064,강남구,역삼1동,0.0524,5.623444218148903,59.2,19.02,저위험,93.0,4.15
1108082,성북구,삼선동,0.0954,10.488798370672098,44.6,19.02,저위험,54.3,0.5999999999999985
1117054,구로구,구로3동,0.1271,14.075582711020592,33.8,19.01,저위험,62.9,0.7599999999999995
1119070,영등포구,대림1동,0.0276,2.817379497623897,67.4,18.96,저위험,50.7,1.8000000000000014
1104067,성동구,성수2가1동,0.054,5.804480651731161,58.2,18.9,저위험,57.7,-2.2399999999999984
1103074,용산구,한남동,0.076,8.293731613487216,50.7,18.9,저위험,53.4,-1.260000000000001
1112071,은평구,진관동,0.0256,2.591083955646074,67.8,18.89,저위험,50.7,1.81
1121057,관악구,행운동,0.1779,19.8234894772573,15.9,18.84,저위험,51.7,0.2400000000000005
1106088,동대문구,장안2동,0.126,13.951120162932792,31.5,18.34,저위험,63.6,1.5599999999999987
1105055,광진구,중곡1동,0.0515,5.521611224258882,56.5,18.27,저위험,54.9,3.03
1106080,동대문구,청량리동,0.1241,13.73613939805386,31.5,18.18,저위험,51.8,-0.0799999999999997
1118051,금천구,가산동,0.0399,4.209097080787508,59.6,18.06,저위험,75.7,-0.1800000000000011
1116070,강서구,방화1동,0.0613,6.630459379950215,52.3,18.05,저위험,53.0,-0.7599999999999995
1125066,강동구,성내2동,0.0567,6.109979633401222,53.6,17.98,저위험,58.8,0.2699999999999988
1116054,강서구,등촌3동,0.0604,6.5286263860601945,52.3,17.97,저위험,59.1,-0.3999999999999986
1109060,강북구,번1동,0.0258,2.613713509843856,63.8,17.91,저위험,59.6,0.0199999999999995
1120063,동작구,사당1동,0.0925,10.160669834804256,41.0,17.87,저위험,54.8,1.84
1124060,송파구,오금동,0.034,3.5415252319529307,60.6,17.81,저위험,52.1,0.8000000000000007
1119061,영등포구,양평1동,0.0129,1.1541072640868977,67.4,17.72,저위험,46.7,-0.0999999999999943
1107072,중랑구,면목3·8동,0.0866,9.493097985969676,42.3,17.69,저위험,53.9,-1.2800000000000005
1119065,영등포구,신길3동,0.0111,0.950441276306857,67.4,17.56,저위험,46.2,-1.019999999999999
1112057,은평구,구산동,0.0085,0.6562570717356869,67.8,17.44,저위험,50.8,-0.2700000000000003
1119062,영등포구,양평2동,0.0089,0.7015161801312514,67.4,17.38,저위험,46.1,0.9900000000000004
1119066,영등포구,신길4동,0.0076,0.5544240778456664,67.4,17.27,저위험,29.7,1.6800000000000002
1119063,영등포구,신길1동,0.0073,0.520479746548993,67.4,17.24,저위험,51.9,1.3399999999999992
1112065,은평구,신사1동,0.006,0.37338764426340804,67.8,17.23,저위험,46.7,0.5200000000000002
1112066,은평구,신사2동,0.0052,0.2828694274722788,67.8,17.16,저위험,37.9,0.7600000000000001
1112068,은평구,수색동,0.0047,0.22629554197782306,67.8,17.12,저위험,36.2,2.9700000000000006
